Date,Open,High,Low,Close,Volume,Adj Close
22/11/2016,73.93,74.120003,73.459999,73.889999,30700,73.889999
21/11/2016,73.830002,74.290001,73.760002,74.120003,35300,74.120003
18/11/2016,74.129997,74.129997,73.480003,73.480003,25700,73.480003
17/11/2016,73.760002,74.419998,73.68,74.25,24400,74.25
16/11/2016,73.379997,73.889999,73.300003,73.459999,42900,73.459999
15/11/2016,74,74.68,73.949997,74.540001,57700,74.540001
14/11/2016,72.400002,72.449997,71.800003,72.160004,38200,72.160004
11/11/2016,72.779999,72.849998,72.190002,72.330002,53200,72.330002
10/11/2016,72.589996,72.720001,70.610001,71.709999,105900,71.709999
9/11/2016,75.18,76.410004,75.080002,76.230003,46800,76.230003
8/11/2016,75.339996,75.629997,75.110001,75.349998,34400,75.349998
7/11/2016,75.379997,75.550003,75,75.330002,50200,75.330002
4/11/2016,74.57,74.660004,73.330002,73.769997,108000,73.769997
3/11/2016,75.769997,76.779999,75.620003,76.029999,103000,76.029999
2/11/2016,81.269997,81.699997,80.879997,81.279999,71900,81.279999
1/11/2016,82.010002,82.010002,80.959999,81.199997,48200,81.199997
31/10/2016,81.690002,82.089996,81.489998,82,61900,82
28/10/2016,81.510002,81.989998,81.349998,81.989998,152300,81.989998
27/10/2016,81.160004,81.970001,80.93,81.669998,151300,81.669998
26/10/2016,82.279999,82.32,81.309998,81.43,150500,81.43
25/10/2016,83.309998,83.830002,82.800003,83.309998,38000,83.309998
24/10/2016,85.239998,85.279999,84.300003,84.5,41700,84.5
21/10/2016,85.260002,85.529999,85.010002,85.470001,49400,85.470001
20/10/2016,86.43,87.349998,86.43,87.199997,15600,87.199997
19/10/2016,87.239998,87.239998,86.75,86.959999,91500,86.959999
18/10/2016,86.980003,86.980003,86.510002,86.510002,20100,86.510002
17/10/2016,86.220001,86.32,85.669998,85.860001,14900,85.860001
14/10/2016,85.970001,86.5,85.970001,86.300003,43500,86.300003
13/10/2016,84.639999,85.099998,84.489998,85.07,48700,85.07
12/10/2016,85.559998,86.040001,85.43,85.760002,96800,85.760002
11/10/2016,87.43,87.43,85.849998,85.849998,99700,85.849998
10/10/2016,87.849998,88.059998,87.669998,87.940002,20300,87.940002
7/10/2016,86.959999,87.239998,86.300003,86.879997,56400,86.879997
6/10/2016,86.239998,86.279999,85.849998,86.120003,83400,86.120003
5/10/2016,88.040001,88.040001,87.239998,87.510002,91900,87.510002
4/10/2016,87.029999,88.07,86.949997,87.699997,182400,87.699997
3/10/2016,87.220001,87.220001,85.900002,86.529999,30100,86.529999
30/9/2016,85.75,87.18,85.739998,86.900002,77000,86.900002
29/9/2016,87.080002,87.260002,85.459999,85.970001,103400,85.970001
28/9/2016,86.900002,87.82,86.639999,87.82,56400,87.82
27/9/2016,84.82,86.040001,84.800003,86.040001,76500,86.040001
26/9/2016,86.25,86.610001,86.07,86.360001,110300,86.360001
23/9/2016,86.879997,87.220001,86.599998,87.089996,46400,87.089996
22/9/2016,86.639999,87.220001,86.620003,86.760002,38500,86.760002
21/9/2016,85.279999,86.029999,85,85.949997,75700,85.949997
20/9/2016,84.709999,85,84.309998,84.5,47900,84.5
19/9/2016,83.379997,83.580002,83.040001,83.300003,31900,83.300003
16/9/2016,83.860001,84.239998,83.5,83.669998,35500,83.669998
15/9/2016,83.989998,84.959999,83.870003,84.940002,30100,84.940002
14/9/2016,83.809998,83.940002,83.279999,83.419998,20400,83.419998
13/9/2016,83.489998,83.760002,82.980003,83.209999,30700,83.209999
12/9/2016,81.550003,82.870003,81.489998,82.760002,39400,82.760002
9/9/2016,81.599998,82,81,81,42200,81
8/9/2016,82.790001,83.309998,82.150002,82.379997,91800,82.379997
7/9/2016,83.660004,83.720001,83.129997,83.650002,68600,83.650002
6/9/2016,81.860001,82.82,81.589996,82.779999,176100,82.779999
2/9/2016,81.980003,81.989998,81.019997,81.209999,152300,81.209999
1/9/2016,82.5,83.099998,82.029999,82.949997,124100,82.949997
31/8/2016,83.269997,83.279999,82.440002,83.139999,76600,83.139999
30/8/2016,85.32,85.480003,84.699997,84.769997,109700,84.769997
29/8/2016,85.370003,85.470001,85.239998,85.470001,30400,85.470001
26/8/2016,86.550003,87.029999,85.089996,85.339996,34600,85.339996
25/8/2016,86.080002,86.110001,85.400002,85.540001,39000,85.540001
24/8/2016,86.230003,86.370003,85.879997,85.949997,60100,85.949997
23/8/2016,87.199997,87.230003,86.800003,87.010002,47500,87.010002
22/8/2016,87.169998,87.330002,87.019997,87.150002,54000,87.150002
19/8/2016,88.709999,88.849998,88.309998,88.650002,42000,88.650002
18/8/2016,88.660004,88.709999,88.339996,88.599998,26700,88.599998
17/8/2016,88.379997,88.5,87.790001,88.419998,73800,88.419998
16/8/2016,87.449997,87.970001,87.360001,87.760002,44700,87.760002
15/8/2016,86.870003,87.540001,86.779999,87.419998,49700,87.419998
12/8/2016,86.639999,86.879997,86.25,86.629997,84300,86.629997
11/8/2016,85.370003,86.239998,85.279999,85.82,131200,85.82
10/8/2016,84.449997,85.059998,84.410004,84.900002,125900,84.900002
9/8/2016,81.769997,82.519997,81.75,82.32,31500,82.32
8/8/2016,81.620003,82.089996,81.620003,81.879997,128600,81.879997
5/8/2016,80.57,81.800003,80.43,81.779999,449500,81.779999
4/8/2016,80.07,81.959999,80.040001,81.580002,697600,81.580002
3/8/2016,82.379997,83.379997,82.379997,83.349998,386900,83.349998
2/8/2016,83.029999,83.480003,82.870003,83.330002,558700,83.330002
1/8/2016,82.360001,83.190002,82.169998,83.099998,300200,83.099998
29/7/2016,81.620003,82.07,81.529999,81.949997,617000,81.949997
28/7/2016,79.669998,80.410004,79.669998,80.260002,128200,80.260002
27/7/2016,77.25,77.709999,77.059998,77.68,207300,77.68
26/7/2016,76.800003,77.150002,76.360001,77.019997,188300,77.019997
25/7/2016,76.279999,76.379997,75.949997,76.379997,203600,76.379997
22/7/2016,75.400002,75.690002,75.129997,75.519997,338800,75.519997
21/7/2016,76.599998,76.629997,75.709999,75.82,186200,75.82
20/7/2016,74.129997,75.269997,74.099998,74.910004,115500,74.910004
19/7/2016,73.169998,73.220001,72.690002,72.82,80700,72.82
18/7/2016,72.669998,72.989998,72.519997,72.699997,125900,72.699997
15/7/2016,72.410004,72.889999,72.410004,72.720001,27100,72.720001
14/7/2016,72.169998,72.519997,71.919998,72.160004,225800,72.160004
13/7/2016,72.489998,72.860001,72.389999,72.519997,351800,72.519997
12/7/2016,72.300003,72.529999,71.82,72,358800,72
11/7/2016,71.349998,71.730003,71.230003,71.309998,327800,71.309998
8/7/2016,69.760002,70.199997,69.639999,69.860001,268600,69.860001
7/7/2016,70.599998,70.650002,69.529999,69.790001,519000,69.790001
6/7/2016,69.910004,71.209999,69.68,70.730003,992100,70.730003
5/7/2016,69.830002,69.910004,69.019997,69.129997,682000,69.129997
1/7/2016,71.300003,71.470001,70.809998,70.860001,319100,70.860001
30/6/2016,70.699997,71.830002,70.650002,71.690002,372700,71.690002
29/6/2016,69.169998,70.650002,69.050003,70.25,330800,70.25
28/6/2016,67.879997,68.470001,67.779999,68.419998,41700,68.419998
27/6/2016,66.260002,66.440002,65.459999,66.440002,53000,66.440002
24/6/2016,66.419998,67.160004,66.25,66.760002,126600,66.760002
23/6/2016,70.010002,70.620003,69.389999,70.620003,71900,70.620003
22/6/2016,70.190002,70.230003,69.699997,69.699997,44100,69.699997
21/6/2016,68.980003,69.830002,68.699997,69.610001,26400,69.610001
20/6/2016,68.540001,69,68.309998,68.889999,27600,68.889999
17/6/2016,66.129997,66.68,65.709999,66.540001,23900,66.540001
16/6/2016,64.110001,65.459999,63.970001,65.410004,70500,65.410004
15/6/2016,64.830002,65.199997,64.599998,64.75,85300,64.75
14/6/2016,64.82,64.889999,64,64.739998,85900,64.739998
13/6/2016,66.769997,67,66,66.010002,89600,66.010002
10/6/2016,67,67.349998,66.599998,66.730003,121700,66.730003
9/6/2016,67.339996,67.699997,67.139999,67.660004,98400,67.660004
8/6/2016,67.870003,68.279999,67.860001,68.080002,88300,68.080002
7/6/2016,67.980003,68,67.57,67.879997,244800,67.879997
6/6/2016,66.540001,66.900002,66.379997,66.720001,194700,66.720001
3/6/2016,66.360001,66.440002,65.870003,66.300003,97800,66.300003
2/6/2016,65.07,65.400002,64.82,65.379997,104500,65.379997
1/6/2016,64.440002,64.949997,64.419998,64.82,66400,64.82
31/5/2016,64.25,64.389999,63.580002,63.849998,46200,63.849998
27/5/2016,64.459999,64.5,64,64.209999,25400,64.209999
26/5/2016,64.910004,64.93,64.57,64.720001,185000,64.720001
25/5/2016,63.549999,63.93,63.52,63.84,71100,63.84
