Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,27.66,27.77,27.530001,27.700001,91400,27.700001
2016-11-21,27.690001,27.76,27.50,27.629999,125000,27.629999
2016-11-18,27.23,27.280001,27.059999,27.10,249800,27.10
2016-11-17,27.41,27.559999,27.360001,27.49,98300,27.49
2016-11-16,27.57,27.66,27.25,27.32,123900,27.32
2016-11-15,27.82,27.950001,27.66,27.940001,114400,27.940001
2016-11-14,27.559999,27.76,27.530001,27.719999,75300,27.719999
2016-11-11,28.040001,28.110001,27.799999,27.90,134000,27.90
2016-11-10,27.68,27.83,27.35,27.620001,149100,27.620001
2016-11-09,27.67,27.780001,27.41,27.60,230800,27.60
2016-11-08,28.059999,28.200001,27.76,28.18,110100,28.18
2016-11-07,28.16,28.23,28.030001,28.15,207300,28.15
2016-11-04,28.33,28.459999,28.110001,28.139999,98000,28.139999
2016-11-03,28.60,28.629999,28.290001,28.299999,131000,28.299999
2016-11-02,28.969999,29.00,28.530001,28.620001,126500,28.620001
2016-11-01,29.799999,29.84,29.290001,29.34,163500,29.34
2016-10-31,29.65,29.83,29.50,29.75,176800,29.75
2016-10-28,29.50,29.65,29.41,29.48,114300,29.48
2016-10-27,29.389999,29.52,29.25,29.299999,111700,29.299999
2016-10-26,29.139999,29.299999,29.07,29.17,55700,29.17
2016-10-25,29.35,29.389999,29.040001,29.15,113100,29.15
2016-10-24,29.389999,29.450001,29.299999,29.35,96900,29.35
2016-10-21,29.01,29.16,28.959999,29.120001,36800,29.120001
2016-10-20,29.209999,29.50,29.129999,29.379999,285100,29.379999
2016-10-19,29.00,29.10,28.91,29.08,105800,29.08
2016-10-18,28.91,28.99,28.809999,28.84,45800,28.84
2016-10-17,28.809999,28.90,28.67,28.77,92900,28.77
2016-10-14,29.09,29.200001,28.90,29.01,45300,29.01
2016-10-13,28.629999,28.98,28.50,28.92,119100,28.92
2016-10-12,29.10,29.27,28.950001,29.08,37100,29.08
2016-10-11,29.57,29.57,29.17,29.200001,409500,29.200001
2016-10-10,29.48,29.700001,29.43,29.65,446800,29.65
2016-10-07,29.360001,29.50,29.01,29.24,57200,29.24
2016-10-06,29.50,29.540001,29.290001,29.33,129000,29.33
2016-10-05,29.549999,29.58,29.43,29.440001,162400,29.440001
2016-10-04,29.27,29.309999,28.91,28.959999,148400,28.959999
2016-10-03,28.700001,28.950001,28.33,28.50,58600,28.50
2016-09-30,28.34,28.969999,28.27,28.91,141500,28.91
2016-09-29,28.620001,28.65,27.90,28.049999,100300,28.049999
2016-09-28,28.34,28.59,28.17,28.549999,96200,28.549999
2016-09-27,27.67,27.92,27.60,27.860001,291100,27.860001
2016-09-26,28.74,28.77,28.360001,28.41,234800,28.41
2016-09-23,29.00,29.049999,28.879999,28.940001,57900,28.940001
2016-09-22,29.41,29.49,29.120001,29.23,163500,29.23
2016-09-21,28.74,28.93,28.459999,28.879999,83200,28.879999
2016-09-20,28.66,28.73,28.50,28.52,65900,28.52
2016-09-19,28.74,28.959999,28.59,28.719999,54000,28.719999
2016-09-16,28.59,28.629999,28.370001,28.440001,141700,28.440001
2016-09-15,28.92,29.35,28.860001,29.280001,58500,29.280001
2016-09-14,28.99,29.280001,28.889999,29.129999,126200,29.129999
2016-09-13,29.540001,29.58,29.129999,29.209999,75100,29.209999
2016-09-12,29.110001,29.68,29.01,29.620001,154200,29.620001
2016-09-09,29.67,29.719999,29.26,29.27,74500,29.27
2016-09-08,29.65,29.90,29.57,29.66,74100,29.66
2016-09-07,30.00,30.049999,29.84,29.940001,190400,29.940001
2016-09-06,29.52,29.59,29.360001,29.52,92700,29.52
2016-09-02,29.280001,29.48,29.08,29.35,79400,29.35
2016-09-01,29.219999,29.32,28.82,29.17,106300,29.17
2016-08-31,29.24,29.35,28.99,29.01,103600,29.01
2016-08-30,29.18,29.299999,29.01,29.120001,83800,29.120001
2016-08-29,28.51,28.780001,28.48,28.700001,301800,28.700001
2016-08-26,29.34,29.59,28.73,28.90,170900,28.90
2016-08-25,28.59,28.82,28.549999,28.620001,127100,28.620001
2016-08-24,29.280001,29.290001,28.950001,29.049999,178700,29.049999
2016-08-23,29.469999,29.629999,29.290001,29.290001,188800,29.290001
2016-08-22,28.780001,29.02,28.68,28.889999,70800,28.889999
2016-08-19,28.74,29.00,28.65,29.00,50700,29.00
2016-08-18,28.969999,29.200001,28.940001,29.16,183000,29.16
2016-08-17,28.99,29.15,28.860001,29.08,100500,29.08
2016-08-16,29.66,29.719999,29.27,29.309999,244400,29.309999
2016-08-15,29.879999,30.00,29.76,29.82,152100,29.82
2016-08-12,29.559999,29.639999,29.370001,29.370001,73700,29.370001
2016-08-11,29.959999,30.030001,29.76,29.84,140600,29.84
2016-08-10,29.799999,29.950001,29.700001,29.73,158600,29.73
2016-08-09,29.33,29.709999,29.290001,29.50,137100,29.50
2016-08-08,29.01,29.08,28.85,28.940001,92600,28.940001
2016-08-05,28.98,29.190001,28.950001,29.16,156400,29.16
2016-08-04,28.870001,28.92,28.549999,28.67,76800,28.67
2016-08-03,28.24,28.440001,28.120001,28.290001,98400,28.290001
2016-08-02,28.809999,28.860001,28.41,28.60,219700,28.60
2016-08-01,29.50,29.51,29.23,29.299999,104200,29.299999
2016-07-29,29.34,29.65,29.33,29.58,54600,29.58
2016-07-28,29.530001,29.540001,29.00,29.23,129200,29.23
2016-07-27,30.08,30.120001,29.76,29.92,361400,29.92
2016-07-26,29.17,29.309999,29.059999,29.139999,225300,29.139999
2016-07-25,28.969999,29.10,28.82,28.870001,107700,28.870001
2016-07-22,28.690001,28.719999,28.48,28.719999,165100,28.719999
2016-07-21,29.00,29.200001,28.610001,28.68,157800,28.68
2016-07-20,29.10,29.139999,28.73,28.75,221900,28.75
2016-07-19,28.200001,28.24,28.00,28.01,101400,28.01
2016-07-18,28.200001,28.469999,28.07,28.25,76200,28.25
2016-07-15,28.10,28.34,27.98,28.34,384200,28.34
2016-07-14,28.639999,28.66,28.280001,28.370001,178900,28.370001
2016-07-13,28.33,28.389999,27.73,27.83,153700,27.83
2016-07-12,28.34,28.41,28.110001,28.120001,239100,28.120001
2016-07-11,27.52,27.620001,27.24,27.26,199000,27.26
