Date,Open,High,Low,Close,Volume,Adj Close
22/11/2016,15.85,15.96,15.76,15.92,4722800,15.92
21/11/2016,15.98,16.139999,15.86,16.030001,4315600,16.030001
18/11/2016,16.08,16.1,15.83,15.91,5150700,15.91
17/11/2016,15.95,16.110001,15.8,16.09,6547400,16.09
16/11/2016,16.15,16.24,16,16.07,5783100,16.07
15/11/2016,16.32,16.57,16.16,16.549999,7238700,16.549999
14/11/2016,16.07,16.67,16.059999,16.639999,11093100,16.639999
11/11/2016,15.98,16.24,15.93,16.190001,9245900,16.190001
10/11/2016,15.16,15.89,15.15,15.73,16939200,15.73
9/11/2016,14.04,14.87,14,14.76,13845200,14.76
8/11/2016,14.09,14.3,13.95,14.24,5188800,14.24
7/11/2016,14.2,14.27,14.09,14.22,5667700,14.22
4/11/2016,13.45,13.63,13.32,13.45,4040600,13.45
3/11/2016,13.69,13.81,13.54,13.57,4109800,13.57
2/11/2016,13.67,13.74,13.54,13.6,8393700,13.6
1/11/2016,14.35,14.36,13.78,13.93,7677300,13.93
31/10/2016,14.54,14.55,14.29,14.39,5735900,14.39
28/10/2016,14.54,14.74,14.49,14.62,7376900,14.62
27/10/2016,14.56,14.66,14.43,14.49,8299200,14.49
26/10/2016,14.51,14.59,14.33,14.56,7869100,14.56
25/10/2016,14.14,14.38,14.1,14.27,6577700,14.27
24/10/2016,14.6,14.66,14.42,14.48,5675500,14.48
21/10/2016,14.16,14.35,14.15,14.31,5301900,14.31
20/10/2016,14.01,14.6,14,14.37,18019700,14.37
19/10/2016,13.72,13.9,13.65,13.86,4777300,13.86
18/10/2016,13.63,13.75,13.55,13.72,4322100,13.72
17/10/2016,13.54,13.54,13.37,13.39,3665700,13.39
14/10/2016,13.6,13.69,13.25,13.43,8887600,13.43
13/10/2016,13.23,13.42,13.05,13.36,6787000,13.36
12/10/2016,13.62,13.73,13.54,13.6,4013500,13.6
11/10/2016,13.8,13.84,13.53,13.62,5842600,13.62
10/10/2016,13.7,14.04,13.7,13.9,11440300,13.9
7/10/2016,13.67,13.96,13.4,13.64,20561300,13.64
6/10/2016,13.66,13.68,13.27,13.53,14709100,13.53
5/10/2016,13.42,13.62,13.4,13.59,11930700,13.59
4/10/2016,13.19,13.4,13.03,13.33,25021900,13.33
3/10/2016,13.09,13.14,12.6,12.98,21401800,12.98
30/9/2016,12.07,13.28,12.06,13.09,69882500,13.09
29/9/2016,12.19,12.35,11.19,11.48,51655200,11.48
28/9/2016,12.32,12.32,12.01,12.3,14440500,12.3
27/9/2016,11.59,11.97,11.57,11.92,17102100,11.92
26/9/2016,12.01,12.05,11.23,11.85,20628100,11.85
23/9/2016,12.75,12.83,12.68,12.75,6141800,12.75
22/9/2016,13.14,13.23,12.97,13,8547700,13
21/9/2016,12.46,12.68,12.44,12.68,8748700,12.68
20/9/2016,12.8,12.8,12.4,12.42,11478900,12.42
19/9/2016,13.22,13.23,12.91,12.97,8293700,12.97
16/9/2016,13.38,13.48,13.27,13.38,13392000,13.38
15/9/2016,14.52,14.83,14.48,14.76,3142400,14.76
14/9/2016,14.48,14.72,14.41,14.52,3150300,14.52
13/9/2016,14.87,14.91,14.52,14.59,4924500,14.59
12/9/2016,14.82,15.16,14.71,15.11,5148400,15.11
9/9/2016,15.33,15.43,15.18,15.26,9854900,15.26
8/9/2016,14.54,14.81,14.49,14.79,2965100,14.79
7/9/2016,14.53,14.64,14.45,14.54,2187700,14.54
6/9/2016,14.82,14.82,14.42,14.46,3859200,14.46
2/9/2016,14.84,14.92,14.73,14.9,2659300,14.9
1/9/2016,15.14,15.2,14.57,14.69,5593900,14.69
31/8/2016,14.83,14.96,14.64,14.75,5732300,14.75
30/8/2016,14.24,14.41,14.23,14.39,3354200,14.39
29/8/2016,13.87,13.97,13.85,13.92,1776800,13.92
26/8/2016,14.16,14.28,13.88,13.98,5208700,13.98
25/8/2016,14.11,14.17,14,14.02,2023000,14.02
24/8/2016,14.31,14.36,14.14,14.19,3251700,14.19
23/8/2016,13.96,14.06,13.95,14,3070100,14
22/8/2016,13.46,13.62,13.42,13.51,3440000,13.51
19/8/2016,13.55,13.63,13.45,13.55,4529400,13.55
18/8/2016,13.83,14.02,13.8,13.97,2364900,13.97
17/8/2016,13.93,14,13.79,13.97,3101100,13.97
16/8/2016,14.34,14.38,14.23,14.23,1752600,14.23
15/8/2016,14.3,14.35,14.28,14.35,2210500,14.35
12/8/2016,14.28,14.32,14.2,14.25,2069600,14.25
11/8/2016,14.25,14.34,14.19,14.23,2608500,14.23
10/8/2016,14.15,14.31,14.03,14.22,6642100,14.22
9/8/2016,13.51,13.78,13.51,13.73,4014100,13.73
8/8/2016,13.4,13.5,13.36,13.47,3325700,13.47
5/8/2016,12.85,13.16,12.83,13.15,6015600,13.15
4/8/2016,12.71,12.8,12.63,12.7,3763500,12.7
3/8/2016,12.56,12.71,12.48,12.69,7207300,12.69
2/8/2016,12.72,12.79,12.55,12.58,7635000,12.58
1/8/2016,13.25,13.27,13.04,13.07,4861400,13.07
29/7/2016,13.5,13.53,13.3,13.44,6928200,13.44
28/7/2016,13.3,13.32,13.2,13.25,5227900,13.25
27/7/2016,13.78,13.88,13.53,13.63,7702500,13.63
26/7/2016,14.16,14.24,14.06,14.18,3265300,14.18
25/7/2016,14.5,14.57,14.37,14.4,2481800,14.4
22/7/2016,14.52,14.55,14.31,14.35,2024200,14.35
21/7/2016,14.66,14.79,14.38,14.44,4026100,14.44
20/7/2016,14.13,14.32,14.01,14.3,3135500,14.3
19/7/2016,14,14.08,13.95,14.01,4685300,14.01
18/7/2016,14.36,14.61,14.24,14.54,4330100,14.54
15/7/2016,14.62,14.62,14.38,14.43,3496700,14.43
14/7/2016,14.36,14.62,14.31,14.54,7149900,14.54
13/7/2016,14.21,14.26,13.88,13.95,5461100,13.95
12/7/2016,14.11,14.24,14.01,14.1,7882500,14.1
11/7/2016,13.18,13.4,13.1,13.3,5739400,13.3
8/7/2016,13.13,13.14,12.89,12.97,6053800,12.97
7/7/2016,12.76,12.91,12.5,12.6,8240400,12.6
6/7/2016,12.77,12.99,12.5,12.97,9924300,12.97
5/7/2016,13.73,13.76,13.34,13.4,7357600,13.4
1/7/2016,13.97,14.07,13.83,13.91,7633700,13.91
30/6/2016,13.65,13.9,13.47,13.73,12054500,13.73
29/6/2016,13.97,14.12,13.94,14.09,8707600,14.09
28/6/2016,14.39,14.46,13.88,14.17,7835100,14.17
27/6/2016,13.96,13.99,13.4,13.87,10609400,13.87
24/6/2016,17.84,17.84,14.62,14.72,18288300,14.72
23/6/2016,17.6,17.860001,17.309999,17.84,6265100,17.84
22/6/2016,17.15,17.219999,16.860001,16.870001,4824300,16.870001
21/6/2016,16.66,16.879999,16.4,16.809999,4874700,16.809999
20/6/2016,16.41,16.450001,16.290001,16.299999,5688800,16.299999
17/6/2016,15.39,15.67,15.29,15.62,6051600,15.62
16/6/2016,14.32,14.92,14.13,14.9,7838200,14.9
15/6/2016,14.88,15.16,14.77,14.82,5816800,14.82
14/6/2016,15.02,15.17,14.59,14.73,6419100,14.73
13/6/2016,15.22,15.53,15.15,15.18,4814100,15.18
10/6/2016,15.96,16,15.65,15.74,7059600,15.74
9/6/2016,16.709999,16.83,16.6,16.709999,2793800,16.709999
8/6/2016,17.24,17.360001,17,17.049999,2133800,17.049999
7/6/2016,17.34,17.459999,17.26,17.27,2107100,17.27
6/6/2016,16.889999,17.190001,16.879999,17.139999,2433700,17.139999
3/6/2016,17.280001,17.299999,16.879999,17.059999,4467700,17.059999
2/6/2016,17.43,17.620001,17.360001,17.540001,2096000,17.540001
1/6/2016,17.360001,17.620001,17.23,17.620001,3892700,17.620001
31/5/2016,18.200001,18.26,17.74,17.799999,2955800,17.799999
27/5/2016,18.18,18.309999,18.07,18.129999,1755000,18.129999
26/5/2016,18.190001,18.23,18.01,18.049999,2525900,18.049999
25/5/2016,17.879999,18.08,17.860001,17.99,3398300,17.99
24/5/2016,17.09,17.389999,17.08,17.370001,2700300,17.370001
23/5/2016,16.93,17.129999,16.709999,16.93,3441700,16.93
20/5/2016,16.85,17.049999,16.85,16.91,2165900,16.91
19/5/2016,16.91,17.07,16.67,16.790001,3265600,16.790001
18/5/2016,16.139999,16.799999,16.139999,16.75,4286000,16.75
17/5/2016,16.299999,16.440001,16.1,16.16,3592800,16.16
16/5/2016,16.370001,16.469999,16.280001,16.370001,2368200,16.370001
13/5/2016,16.620001,16.75,16.35,16.389999,2349100,16.389999
12/5/2016,16.889999,17.02,16.469999,16.6,2829100,16.6
11/5/2016,16.690001,16.93,16.610001,16.700001,3271500,16.700001
10/5/2016,16.98,17.18,16.959999,17.15,2444300,17.15
9/5/2016,16.959999,17.030001,16.65,16.719999,2707200,16.719999
6/5/2016,16.52,16.99,16.5,16.91,4050200,16.91
5/5/2016,16.809999,16.879999,16.559999,16.67,4837600,16.67
4/5/2016,17.35,17.57,17.110001,17.200001,3135900,17.200001
3/5/2016,17.610001,17.620001,17.299999,17.34,5376300,17.34
2/5/2016,18.389999,18.530001,18.200001,18.48,3336100,18.48
29/4/2016,19.15,19.26,18.790001,18.959999,3539300,18.959999
28/4/2016,19.370001,19.700001,19.32,19.459999,3936000,19.459999
27/4/2016,18.780001,19.059999,18.76,19.02,3547800,19.02
26/4/2016,18.73,18.73,18.450001,18.639999,2173500,18.639999
25/4/2016,18.32,18.360001,17.969999,18.139999,3293400,18.139999
22/4/2016,18.690001,18.959999,18.67,18.889999,2742100,18.889999
21/4/2016,19.15,19.16,18.620001,18.67,4380300,18.67
20/4/2016,18.48,18.74,18.4,18.719999,4736200,18.719999
19/4/2016,17.860001,17.950001,17.65,17.84,3408200,17.84
18/4/2016,17.450001,17.780001,17.4,17.690001,2816300,17.690001
15/4/2016,17.32,17.379999,17.23,17.299999,2220800,17.299999
14/4/2016,17.41,17.43,17.17,17.280001,3958300,17.280001
13/4/2016,16.99,17.379999,16.99,17.360001,6810700,17.360001
12/4/2016,15.78,16.08,15.48,16,5476800,16
11/4/2016,16.15,16.25,15.91,15.92,3515000,15.92
8/4/2016,16,16.09,15.81,15.87,3583300,15.87
7/4/2016,15.78,15.83,15.31,15.41,5395900,15.41
6/4/2016,15.94,16.200001,15.9,16.16,3028900,16.16
5/4/2016,16.08,16.15,15.91,15.93,4439900,15.93
4/4/2016,16.809999,16.98,16.690001,16.74,3588800,16.74
1/4/2016,16.91,17.110001,16.9,17.07,3216800,17.07
31/3/2016,16.98,17.209999,16.92,16.940001,3581000,16.940001
30/3/2016,17.219999,17.42,17.1,17.120001,4406800,17.120001
29/3/2016,17.1,17.49,16.99,17.450001,2583500,17.450001
28/3/2016,17.65,17.709999,17.43,17.610001,1648100,17.610001
24/3/2016,17.440001,17.620001,17.33,17.540001,4046600,17.540001
23/3/2016,18.5,18.57,17.99,18,3229200,18
22/3/2016,18.530001,18.809999,18.459999,18.709999,2992000,18.709999
21/3/2016,19.190001,19.35,19,19.07,2315000,19.07
18/3/2016,19.469999,19.59,19.09,19.27,2717000,19.27
17/3/2016,18.959999,19.24,18.809999,19.120001,3618600,19.120001
16/3/2016,18.91,19.34,18.82,19.309999,5348000,19.309999
15/3/2016,20.07,20.16,19.9,20.15,2347800,20.15
14/3/2016,20.620001,20.700001,20.43,20.59,2893400,20.59
11/3/2016,20.23,20.639999,20.120001,20.620001,5482600,20.620001
10/3/2016,19.65,19.98,18.92,19.27,10215400,19.27
9/3/2016,19.16,19.200001,18.75,18.98,2369400,18.98
8/3/2016,19.459999,19.459999,18.99,19,3795000,19
7/3/2016,19.08,19.559999,19.059999,19.469999,3019500,19.469999
4/3/2016,19.58,19.9,19.48,19.65,3810300,19.65
3/3/2016,19.440001,19.540001,19.219999,19.51,4194300,19.51
2/3/2016,18.25,18.719999,18.190001,18.719999,3400100,18.719999
1/3/2016,17.459999,17.969999,17.309999,17.91,3162200,17.91
29/2/2016,17.360001,17.43,17.17,17.190001,3228000,17.190001
26/2/2016,17.309999,17.52,17.17,17.32,3141400,17.32
25/2/2016,16.52,16.82,16.389999,16.77,2556200,16.77
24/2/2016,16.309999,16.48,16.07,16.440001,4345100,16.440001
23/2/2016,17.24,17.25,16.68,16.68,2839400,16.68
22/2/2016,17.110001,17.43,17.09,17.389999,1931900,17.389999
19/2/2016,16.860001,16.99,16.629999,16.9,3525400,16.9
18/2/2016,17.639999,17.65,17.07,17.09,3339700,17.09
17/2/2016,17.51,18.1,17.51,17.93,4158500,17.93
16/2/2016,16.940001,17.290001,16.74,17.16,5161600,17.16
12/2/2016,16.98,17.43,16.49,17.379999,8627700,17.379999
