Date,Open,High,Low,Close,Volume,Adj Close
22/11/2016,15.53,15.58,15.47,15.57,240900,15.57
21/11/2016,15.23,15.32,15.22,15.26,301500,15.26
18/11/2016,15.32,15.34,15.19,15.22,184100,15.22
17/11/2016,15.48,15.55,15.38,15.45,190500,15.45
16/11/2016,15.33,15.41,15.31,15.34,430300,15.34
15/11/2016,15.4,15.46,15.36,15.4,480000,15.4
14/11/2016,15.47,15.48,15.26,15.33,95100,15.33
11/11/2016,15.73,15.74,15.53,15.6,98400,15.6
10/11/2016,15.65,15.68,15.39,15.57,1734300,15.57
9/11/2016,15.68,15.96,15.65,15.9,267600,15.9
8/11/2016,15.98,16.1,15.97,16.08,66200,16.08
7/11/2016,15.93,16.040001,15.86,16.01,60400,16.01
4/11/2016,15.98,16.02,15.87,15.91,105900,15.91
3/11/2016,16.059999,16.15,16,16.059999,88300,16.059999
2/11/2016,16.24,16.280001,16.040001,16.049999,78400,16.049999
1/11/2016,16.25,16.25,16.110001,16.139999,105900,16.139999
31/10/2016,16.280001,16.32,16.190001,16.32,127400,16.32
28/10/2016,16.27,16.33,16.209999,16.280001,116300,16.280001
27/10/2016,16.309999,16.389999,16.25,16.32,57500,16.32
26/10/2016,16.34,16.459999,16.32,16.4,121500,16.4
25/10/2016,16.5,16.549999,16.42,16.459999,188300,16.459999
24/10/2016,16,16.120001,15.95,16.040001,275000,16.040001
21/10/2016,15.76,15.83,15.73,15.76,159000,15.76
20/10/2016,15.84,15.93,15.8,15.82,125300,15.82
19/10/2016,15.77,15.85,15.76,15.82,124600,15.82
18/10/2016,16,16,15.92,15.97,166600,15.97
17/10/2016,15.75,15.79,15.69,15.76,288400,15.76
14/10/2016,15.85,15.92,15.71,15.75,473700,15.75
13/10/2016,15.57,15.76,15.53,15.7,115600,15.7
12/10/2016,15.85,15.87,15.74,15.81,175400,15.81
11/10/2016,16.200001,16.219999,16.01,16.02,67100,16.02
10/10/2016,16.200001,16.24,16.15,16.190001,63700,16.190001
7/10/2016,16.139999,16.15,16,16.110001,93500,16.110001
6/10/2016,16.120001,16.17,16.08,16.17,75100,16.17
5/10/2016,16.57,16.59,16.49,16.540001,74500,16.540001
4/10/2016,16.75,16.82,16.68,16.73,116300,16.73
3/10/2016,16.799999,16.799999,16.6,16.76,108700,16.76
30/9/2016,16.65,16.83,16.58,16.790001,112700,16.790001
29/9/2016,16.879999,16.889999,16.540001,16.629999,751200,16.629999
28/9/2016,16.75,16.790001,16.639999,16.780001,126900,16.780001
27/9/2016,16.639999,16.82,16.629999,16.799999,102300,16.799999
26/9/2016,16.870001,16.91,16.799999,16.83,116900,16.83
23/9/2016,17.1,17.17,17.09,17.129999,101700,17.129999
22/9/2016,17.08,17.219999,17.08,17.139999,187100,17.139999
21/9/2016,16.459999,16.66,16.42,16.6,209500,16.6
