Date,Open,High,Low,Close,Volume,Adj Close
22/11/2016,73.18,74.13,73.18,73.38,42300,73.38
21/11/2016,73.91,74.25,72.2,72.95,128300,72.95
18/11/2016,73.73,74.3,73.43,74.1,82600,74.1
17/11/2016,73.17,73.79,72.62,73.67,70100,73.67
16/11/2016,74,74.49,73.34,73.34,79600,73.34
15/11/2016,73.46,74.01,73.08,73.84,77300,73.84
14/11/2016,73.18,74.08,72.98,73.43,113300,73.43
11/11/2016,72.99,73.5,72.04,72.64,131000,72.64
10/11/2016,69.96,74.05,69.93,73.19,257000,73.19
9/11/2016,66.5,70.13,66.2,69.95,160000,69.95
8/11/2016,68.33,68.9,67.2,68.01,65000,68.01
7/11/2016,66.87,68.58,66.87,68.47,59400,68.47
4/11/2016,66.39,66.77,66.11,66.22,84300,66.22
3/11/2016,67.64,67.64,66.75,67,190300,67
2/11/2016,67.27,67.75,67,67.64,106900,67.64
1/11/2016,68.2,68.79,67.86,67.92,133700,67.92
31/10/2016,68.5,68.5,67.26,68.07,92200,68.07
28/10/2016,67.51,68.16,67.18,68.01,112000,68.01
27/10/2016,67.47,67.91,67.06,67.67,50700,67.67
26/10/2016,67.66,68.04,66.9,67.48,42600,67.48
25/10/2016,68,68.39,67.81,67.81,90800,67.81
24/10/2016,66.9,67.81,66.9,67.56,63200,67.56
21/10/2016,67.15,67.25,66.49,66.84,94000,66.84
20/10/2016,67.5,67.81,66.87,67.03,160900,67.03
19/10/2016,68,68,67.2,67.45,131800,67.45
18/10/2016,67.1,68.28,66.66,67.31,111400,67.31
17/10/2016,68.5,68.5,67.25,67.26,66800,67.26
14/10/2016,67.55,68.68,67.51,68.25,67500,68.25
13/10/2016,68.2,68.54,67.08,67.74,124900,67.74
12/10/2016,68.96,69.27,68.43,68.57,64700,68.57
11/10/2016,68.22,69.75,68.22,69.05,98100,69.05
10/10/2016,69.55,69.55,68.51,68.62,79800,68.62
7/10/2016,69.9,70.14,68.33,68.57,97300,68.57
6/10/2016,70,70.94,69.71,69.99,108900,69.99
5/10/2016,70,70.78,69.3,70,95900,70
4/10/2016,68.9,70.94,68.9,70.06,222000,70.06
3/10/2016,69.47,69.47,69.47,69.47,0,69.47
30/9/2016,70.51,70.71,69.11,69.47,169800,69.47
29/9/2016,72.36,72.36,70.95,71.28,65000,71.28
28/9/2016,71.64,72.25,70.51,71.05,112000,71.05
27/9/2016,72.49,72.49,70.6,71.22,158900,71.22
26/9/2016,72.01,72.7,71.06,71.9,157500,71.9
23/9/2016,73.73,74.59,72.31,72.52,115900,72.52
22/9/2016,73.22,74.56,73.22,73.79,109900,73.79
21/9/2016,73.1,75,72.68,73.11,124200,73.11
20/9/2016,71.26,73.67,71.26,72.52,136800,72.52
19/9/2016,70.72,71.85,70.12,71.19,97600,71.19
16/9/2016,71.99,72.16,70.16,70.16,249100,70.16
15/9/2016,70.5,71.59,70.46,71.12,108600,71.12
14/9/2016,71.98,72.19,70.9,70.9,138100,70.9
13/9/2016,71.99,71.99,70.35,71.94,99500,71.94
12/9/2016,71.5,71.99,70.8,71.68,104700,71.68
9/9/2016,72.39,72.91,71.5,71.94,69500,71.94
8/9/2016,72.12,73.25,72.12,72.7,80500,72.7
7/9/2016,73.18,73.46,71.84,72.33,94100,72.33
6/9/2016,73,74,73,73.25,49000,73.25
5/9/2016,73.73,74.2,73.43,73.54,66300,73.54
2/9/2016,73.16,73.94,73.16,73.91,46600,73.91
1/9/2016,71.99,73.65,71.76,73.06,93900,73.06
