Date,Open,High,Low,Close,Volume,Adj Close
2016-11-21,4.39,4.42,4.39,4.42,125320300,4.42
2016-11-18,4.39,4.40,4.38,4.39,56792900,4.39
2016-11-17,4.39,4.40,4.38,4.39,53452600,4.39
2016-11-16,4.40,4.40,4.39,4.40,69330900,4.40
2016-11-15,4.40,4.40,4.39,4.40,74971300,4.40
2016-11-14,4.40,4.41,4.39,4.40,190875000,4.40
2016-11-11,4.42,4.43,4.36,4.41,192367500,4.41
2016-11-10,4.42,4.43,4.41,4.43,73081200,4.43
2016-11-09,4.42,4.43,4.38,4.40,127193100,4.40
2016-11-08,4.40,4.45,4.40,4.44,169272700,4.44
2016-11-07,4.40,4.41,4.39,4.41,57769800,4.41
2016-11-04,4.42,4.42,4.39,4.41,92834000,4.41
2016-11-03,4.42,4.43,4.40,4.42,59317300,4.42
2016-11-02,4.42,4.43,4.40,4.42,56576600,4.42
2016-11-01,4.42,4.44,4.41,4.44,60044400,4.44
2016-10-31,4.42,4.44,4.40,4.43,67620000,4.43
2016-10-28,4.41,4.45,4.40,4.44,81003100,4.44
2016-10-27,4.41,4.42,4.39,4.42,62037300,4.42
2016-10-26,4.44,4.44,4.41,4.42,81485900,4.42
2016-10-25,4.43,4.45,4.42,4.45,82503300,4.45
2016-10-24,4.40,4.45,4.39,4.43,147965400,4.43
2016-10-21,4.39,4.41,4.38,4.41,33583700,4.41
2016-10-20,4.41,4.41,4.38,4.39,50365900,4.39
2016-10-19,4.41,4.43,4.39,4.41,53880100,4.41
2016-10-18,4.37,4.41,4.37,4.41,60521300,4.41
2016-10-17,4.41,4.42,4.36,4.38,60322200,4.38
2016-10-14,4.41,4.43,4.39,4.42,67662100,4.42
2016-10-13,4.43,4.44,4.41,4.42,47888400,4.42
2016-10-12,4.44,4.45,4.42,4.43,59244400,4.43
2016-10-11,4.46,4.46,4.44,4.45,55342600,4.45
2016-10-10,4.43,4.46,4.43,4.46,78484900,4.46
2016-10-07,4.43,4.43,4.43,4.43,000,4.43
