Date,Open,High,Low,Close,Volume,Adj Close
2016-11-21,18.08,18.68,18.08,18.34,41347600,18.34
2016-11-18,18.12,18.16,18.03,18.10,18551400,18.10
2016-11-17,18.11,18.14,18.01,18.12,27177300,18.12
2016-11-16,18.23,18.29,18.05,18.12,23521200,18.12
2016-11-15,18.10,18.24,18.03,18.18,25650700,18.18
2016-11-14,18.00,18.25,17.95,18.04,35354000,18.04
2016-11-11,17.95,18.08,17.93,18.02,27634800,18.02
2016-11-10,17.95,18.11,17.94,18.00,27117000,18.00
2016-11-09,18.00,18.08,17.77,17.89,34243700,17.89
2016-11-08,17.92,18.06,17.89,17.99,26234800,17.99
2016-11-07,17.91,17.93,17.85,17.89,20825800,17.89
2016-11-04,17.90,18.00,17.87,17.91,26938800,17.91
2016-11-03,17.83,17.97,17.79,17.93,27080900,17.93
2016-11-02,17.86,17.94,17.76,17.84,30953600,17.84
2016-11-01,17.87,17.99,17.79,17.98,18940500,17.98
2016-10-31,17.87,17.96,17.72,17.86,12893300,17.86
2016-10-28,17.80,18.05,17.80,17.90,20411600,17.90
2016-10-27,18.06,18.06,17.77,17.81,21825000,17.81
2016-10-26,18.12,18.15,17.95,17.97,14336800,17.97
2016-10-25,18.31,18.46,18.09,18.13,19758200,18.13
2016-10-24,17.93,18.42,17.86,18.31,29156000,18.31
2016-10-21,17.91,17.93,17.82,17.91,12436300,17.91
2016-10-20,17.90,17.98,17.83,17.89,12357900,17.89
2016-10-19,17.93,18.05,17.83,17.88,11930100,17.88
2016-10-18,17.86,17.99,17.84,17.93,14301900,17.93
2016-10-17,18.07,18.10,17.83,17.86,12238000,17.86
2016-10-14,18.10,18.15,18.00,18.10,12238500,18.10
2016-10-13,18.15,18.21,18.05,18.09,10559800,18.09
2016-10-12,18.28,18.31,18.10,18.15,10479900,18.15
2016-10-11,18.33,18.49,18.26,18.33,12929400,18.33
2016-10-10,18.03,18.38,18.03,18.30,19093800,18.30
2016-10-07,18.00,18.00,18.00,18.00,000,18.00
2016-10-06,18.00,18.00,18.00,18.00,000,18.00
2016-10-05,18.00,18.00,18.00,18.00,000,18.00
2016-10-04,18.00,18.00,18.00,18.00,000,18.00
2016-10-03,18.00,18.00,18.00,18.00,000,18.00
2016-09-30,17.96,18.10,17.95,18.00,8430800,18.00
2016-09-29,17.96,18.07,17.92,18.00,10309200,18.00
2016-09-28,18.06,18.06,17.83,17.89,10734700,17.89
2016-09-27,17.97,18.10,17.94,18.07,10001200,18.07
2016-09-26,17.91,18.09,17.85,18.00,14699700,18.00
2016-09-23,17.99,18.09,17.93,17.98,13553100,17.98
2016-09-22,17.99,18.17,17.88,17.97,12354800,17.97
2016-09-21,17.75,17.95,17.75,17.88,7672300,17.88
2016-09-20,17.80,17.85,17.67,17.74,10250900,17.74
2016-09-19,17.55,17.88,17.55,17.81,16820100,17.81
2016-09-16,17.54,17.54,17.54,17.54,000,17.54
2016-09-15,17.54,17.54,17.54,17.54,000,17.54
2016-09-14,17.99,17.99,17.48,17.54,22219600,17.54
2016-09-13,17.91,18.08,17.90,17.91,13541700,17.91
2016-09-12,18.16,18.18,17.81,17.90,28128400,17.90
2016-09-09,18.52,18.57,18.31,18.33,8670800,18.33
2016-09-08,18.58,18.63,18.48,18.53,8320200,18.53
2016-09-07,18.51,18.62,18.40,18.56,17706300,18.56
2016-09-06,18.75,18.78,18.43,18.51,17939400,18.51
2016-09-05,18.68,18.82,18.57,18.75,19865500,18.75
2016-09-02,18.52,18.72,18.48,18.68,17861600,18.68
2016-09-01,18.60,18.78,18.55,18.62,15545200,18.62
2016-08-31,18.36,18.76,18.36,18.63,15610600,18.63
2016-08-30,18.24,18.52,18.23,18.44,19118900,18.44
2016-08-29,18.46,18.48,18.03,18.27,20536400,18.27
2016-08-26,18.49,18.60,18.44,18.55,16920600,18.55
2016-08-25,18.57,18.64,18.19,18.51,19466500,18.51
2016-08-24,18.66,18.70,18.43,18.62,19140800,18.62
2016-08-23,18.61,19.00,18.52,18.66,28823100,18.66
