Date,Open,High,Low,Close,Volume,Adj Close
2016-11-21,9.22,9.29,9.18,9.28,55948100,9.28
2016-11-18,9.19,9.22,9.17,9.20,50326600,9.20
2016-11-17,9.18,9.21,9.15,9.20,54477900,9.20
2016-11-16,9.20,9.22,9.16,9.19,52683400,9.19
2016-11-15,9.22,9.23,9.18,9.21,36214500,9.21
2016-11-14,9.18,9.24,9.17,9.22,51239900,9.22
2016-11-11,9.15,9.21,9.12,9.20,49228400,9.20
2016-11-10,9.14,9.17,9.12,9.16,66369300,9.16
2016-11-09,9.18,9.18,9.04,9.11,77945500,9.11
2016-11-08,9.16,9.19,9.14,9.17,38606800,9.17
2016-11-07,9.15,9.17,9.13,9.16,28920400,9.16
2016-11-04,9.18,9.21,9.14,9.16,35280100,9.16
2016-11-03,9.16,9.23,9.13,9.19,50655600,9.19
2016-11-02,9.18,9.21,9.13,9.16,47408700,9.16
2016-11-01,9.20,9.23,9.16,9.21,22980400,9.21
2016-10-31,9.30,9.30,9.14,9.20,48642800,9.20
2016-10-28,9.25,9.33,9.25,9.31,41278300,9.31
2016-10-27,9.26,9.31,9.24,9.27,24219100,9.27
2016-10-26,9.33,9.35,9.26,9.28,27654900,9.28
2016-10-25,9.36,9.39,9.33,9.36,23890700,9.36
2016-10-24,9.28,9.40,9.27,9.37,45969000,9.37
2016-10-21,9.28,9.31,9.26,9.29,21363800,9.29
2016-10-20,9.29,9.31,9.28,9.29,18137400,9.29
2016-10-19,9.27,9.30,9.27,9.28,16627100,9.28
2016-10-18,9.23,9.28,9.23,9.27,26011600,9.27
2016-10-17,9.23,9.29,9.19,9.24,31322000,9.24
2016-10-14,9.18,9.26,9.17,9.24,34985900,9.24
2016-10-13,9.26,9.27,9.14,9.19,69499000,9.19
2016-10-12,9.29,9.31,9.26,9.27,28790900,9.27
2016-10-11,9.32,9.34,9.28,9.31,34307000,9.31
2016-10-10,9.26,9.36,9.26,9.33,29638800,9.33
2016-10-07,9.26,9.26,9.26,9.26,000,9.26
2016-10-06,9.26,9.26,9.26,9.26,000,9.26
2016-10-05,9.26,9.26,9.26,9.26,000,9.26
2016-10-04,9.26,9.26,9.26,9.26,000,9.26
2016-10-03,9.26,9.26,9.26,9.26,000,9.26
2016-09-30,9.23,9.29,9.23,9.26,24478100,9.26
2016-09-29,9.21,9.25,9.20,9.23,24665500,9.23
2016-09-28,9.31,9.31,9.16,9.20,50170600,9.20
2016-09-27,9.30,9.32,9.26,9.31,42702700,9.31
2016-09-26,9.28,9.35,9.25,9.31,64411300,9.31
2016-09-23,9.38,9.39,9.34,9.38,23468600,9.265
2016-09-22,9.35,9.40,9.32,9.37,24338500,9.25512
2016-09-21,9.33,9.34,9.30,9.33,27347300,9.21561
2016-09-20,9.34,9.34,9.30,9.32,28593100,9.20574
2016-09-19,9.33,9.34,9.30,9.33,30281800,9.21561
2016-09-16,9.31,9.31,9.31,9.31,000,9.19586
2016-09-15,9.31,9.31,9.31,9.31,000,9.19586
2016-09-14,9.28,9.33,9.28,9.31,36142000,9.19586
2016-09-13,9.28,9.33,9.28,9.31,29864600,9.19586
2016-09-12,9.21,9.32,9.20,9.30,101620600,9.18598
2016-09-09,9.32,9.33,9.29,9.30,33205400,9.18598
2016-09-08,9.32,9.33,9.30,9.32,25082500,9.20574
2016-09-07,9.32,9.33,9.30,9.33,49702200,9.21561
2016-09-06,9.32,9.37,9.30,9.32,52474500,9.20574
2016-09-05,9.30,9.38,9.27,9.35,46370300,9.23537
2016-09-02,9.25,9.34,9.25,9.31,55920100,9.19586
2016-09-01,9.29,9.33,9.26,9.28,50718100,9.16623
2016-08-31,9.30,9.34,9.27,9.31,51661800,9.19586
2016-08-30,9.25,9.36,9.25,9.35,53166900,9.23537
2016-08-29,9.26,9.29,9.21,9.24,53354400,9.12672
2016-08-26,9.28,9.32,9.26,9.30,44657100,9.18598
2016-08-25,9.26,9.33,9.25,9.30,53691900,9.18598
2016-08-24,9.30,9.32,9.26,9.27,39764300,9.15635
2016-08-23,9.27,9.34,9.27,9.30,45854100,9.18598
2016-08-22,9.33,9.35,9.25,9.28,58213300,9.16623
2016-08-19,9.36,9.39,9.30,9.34,51458200,9.22549
2016-08-18,9.37,9.44,9.31,9.36,78711400,9.24524
2016-08-17,9.42,9.44,9.33,9.41,78808600,9.29463
2016-08-16,9.76,9.78,9.34,9.41,210662100,9.29463
2016-08-15,9.49,9.81,9.43,9.71,164732800,9.59095
2016-08-12,9.32,9.53,9.24,9.49,110727300,9.37365
2016-08-11,9.25,9.51,9.23,9.31,111453900,9.19586
2016-08-10,9.23,9.26,9.22,9.24,59176200,9.12672
2016-08-09,9.23,9.25,9.19,9.24,66700800,9.12672
2016-08-08,9.28,9.28,9.15,9.23,83953200,9.11684
2016-08-05,9.14,9.47,9.12,9.30,105712300,9.18598
2016-08-04,9.14,9.15,9.08,9.14,73232000,9.02794
2016-08-03,9.11,9.21,9.10,9.15,105704000,9.03782
2016-08-02,9.20,9.23,9.16,9.20,66826300,9.08721
2016-08-01,9.15,9.24,9.14,9.22,78891600,9.10696
2016-07-29,9.17,9.20,9.14,9.16,109791400,9.0477
2016-07-28,9.19,9.22,9.11,9.13,70561000,9.01807
2016-07-27,9.22,9.25,9.06,9.24,143041700,9.12672
2016-07-26,9.17,9.25,9.14,9.23,119662200,9.11684
2016-07-25,9.21,9.28,9.12,9.19,92945200,9.07733
2016-07-22,9.29,9.35,9.21,9.22,76710400,9.10696
2016-07-21,9.31,9.39,9.23,9.31,89434800,9.19586
2016-07-20,9.52,9.54,9.28,9.29,71462900,9.1761
2016-07-19,9.72,9.88,9.35,9.50,107932700,9.38353
2016-07-18,9.35,9.83,9.35,9.54,148707600,9.42304
2016-07-15,9.31,9.37,9.23,9.25,47959700,9.13659
2016-07-14,9.18,9.45,9.17,9.30,79780600,9.18598
2016-07-13,9.12,9.53,9.09,9.16,107852900,9.0477
2016-07-12,9.01,9.15,8.99,9.13,84610700,9.01807
2016-07-11,8.97,9.03,8.93,8.99,52364500,8.87978
2016-07-08,8.95,8.97,8.93,8.93,42253300,8.82052
2016-07-07,8.93,8.98,8.89,8.96,56848500,8.85015
2016-07-06,8.93,8.96,8.90,8.93,51861600,8.82052
2016-07-05,8.98,9.02,8.92,8.97,59139000,8.86003
2016-07-04,8.92,9.08,8.92,9.02,67891400,8.90941
2016-07-01,8.94,8.99,8.90,8.93,38634000,8.82052
2016-06-30,9.06,9.10,8.88,8.93,85664400,8.82052
2016-06-29,8.86,9.15,8.81,9.14,174671300,9.02794
2016-06-28,8.86,8.87,8.82,8.84,45865500,8.73162
2016-06-27,8.84,8.92,8.82,8.87,61454800,8.76125
2016-06-24,8.98,9.03,8.79,8.84,56784100,8.73162
2016-06-23,9.10,9.10,9.03,9.09,39983000,8.82052
2016-06-22,9.07,9.09,9.03,9.08,30033500,8.81081
2016-06-21,9.04,9.10,9.02,9.08,42522700,8.81081
2016-06-20,9.11,9.15,8.99,9.05,27967600,8.7817
2016-06-17,9.01,9.12,9.01,9.08,57320500,8.81081
2016-06-16,8.98,9.11,8.97,9.02,56190500,8.75259
2016-06-15,8.93,9.06,8.92,9.05,79216500,8.7817
2016-06-14,8.95,9.12,8.91,9.03,83740100,8.7623
2016-06-13,8.94,9.02,8.93,8.95,85482900,8.68467
2016-06-10,9.00,9.00,9.00,9.00,000,8.73319
2016-06-09,9.00,9.00,9.00,9.00,000,8.73319
2016-06-08,9.00,9.04,8.98,9.00,95472400,8.73319
2016-06-07,9.03,9.04,8.98,9.00,48827300,8.73319
2016-06-06,8.98,9.01,8.93,9.01,52606700,8.74289
2016-06-03,9.03,9.03,8.91,8.99,62866600,8.72348
2016-06-02,8.98,9.01,8.92,8.97,50064900,8.70407
2016-06-01,9.12,9.12,8.97,8.98,107149200,8.71378
2016-05-31,8.96,9.15,8.96,9.09,141216100,8.82052
2016-05-30,8.91,8.96,8.83,8.95,125372400,8.68467
2016-05-27,8.85,8.94,8.83,8.91,72153200,8.64585
2016-05-26,8.82,8.90,8.81,8.90,60354700,8.63615
2016-05-25,8.75,8.87,8.69,8.86,74010100,8.59734
2016-05-24,8.88,8.88,8.66,8.68,217477100,8.42267
2016-05-23,9.00,9.03,8.86,8.87,128147700,8.60704
2016-05-20,8.98,9.04,8.98,9.00,157346300,8.73319
2016-05-19,9.10,9.11,8.99,9.00,57010700,8.73319
2016-05-18,9.08,9.17,9.02,9.13,138645300,8.85933
2016-05-17,9.20,9.20,9.07,9.08,56884300,8.81081
2016-05-16,9.15,9.24,9.15,9.20,33077500,8.92726
2016-05-13,9.23,9.28,9.18,9.19,108521400,8.91755
2016-05-12,9.27,9.34,9.23,9.27,73296300,8.99518
2016-05-11,9.28,9.33,9.23,9.28,36948200,9.00488
2016-05-10,9.13,9.31,9.13,9.26,35271000,8.98548
2016-05-09,9.25,9.33,9.11,9.22,46376400,8.94666
2016-05-06,9.36,9.37,9.23,9.26,42386800,8.98548
2016-05-05,9.35,9.39,9.34,9.36,23339900,9.08251
2016-05-04,9.30,9.41,9.30,9.38,23346700,9.10192
2016-05-03,9.31,9.42,9.28,9.38,45857500,9.10192
