Date,Open,High,Low,Close,Volume,Adj Close
2016-11-21,13.03,13.14,13.02,13.09,24633000,13.09
2016-11-18,13.08,13.08,13.02,13.03,11075700,13.03
2016-11-17,13.08,13.08,13.03,13.08,13130200,13.08
2016-11-16,13.04,13.09,13.02,13.07,14065400,13.07
2016-11-15,13.05,13.11,13.00,13.04,22018300,13.04
2016-11-14,13.13,13.16,13.02,13.03,30920000,13.03
2016-11-11,13.14,13.20,13.07,13.12,24602500,13.12
2016-11-10,13.13,13.23,13.11,13.14,23943300,13.14
2016-11-09,13.13,13.14,13.03,13.11,20336700,13.11
2016-11-08,13.18,13.22,13.07,13.13,23665900,13.13
2016-11-07,13.25,13.28,13.13,13.14,16862200,13.14
2016-11-04,13.31,13.35,13.22,13.24,13829700,13.24
2016-11-03,13.30,13.36,13.28,13.32,10470500,13.32
2016-11-02,13.44,13.46,13.27,13.30,13433800,13.30
2016-11-01,13.41,13.47,13.39,13.45,8695900,13.45
2016-10-31,13.34,13.47,13.34,13.45,18210200,13.45
2016-10-28,13.29,13.41,13.25,13.34,15648200,13.34
2016-10-27,13.37,13.39,13.27,13.28,13085400,13.28
2016-10-26,13.42,13.42,13.33,13.34,8501100,13.34
2016-10-25,13.37,13.46,13.32,13.41,20155700,13.41
2016-10-24,13.40,13.53,13.33,13.37,24250800,13.37
2016-10-21,13.39,13.44,13.33,13.40,7523800,13.40
2016-10-20,13.49,13.53,13.34,13.38,11527800,13.38
2016-10-19,13.56,13.62,13.45,13.49,13438600,13.49
2016-10-18,13.47,13.58,13.44,13.56,13673500,13.56
2016-10-17,13.63,13.68,13.48,13.51,10162000,13.51
2016-10-14,13.53,13.64,13.51,13.61,11294500,13.61
2016-10-13,13.51,13.57,13.49,13.52,12135800,13.52
2016-10-12,13.47,13.57,13.42,13.54,9979200,13.54
2016-10-11,13.31,13.54,13.29,13.48,17214000,13.48
2016-10-10,13.36,13.40,13.28,13.35,15352700,13.35
2016-10-07,13.30,13.30,13.30,13.30,000,13.30
2016-10-06,13.30,13.30,13.30,13.30,000,13.30
2016-10-05,13.30,13.30,13.30,13.30,000,13.30
2016-10-04,13.30,13.30,13.30,13.30,000,13.30
2016-10-03,13.30,13.30,13.30,13.30,000,13.30
2016-09-30,13.28,13.34,13.27,13.30,7308100,13.30
2016-09-29,13.27,13.31,13.20,13.27,12269600,13.27
2016-09-28,13.30,13.32,13.22,13.24,10815100,13.24
2016-09-27,13.35,13.41,13.21,13.29,15119600,13.29
2016-09-26,13.35,13.44,13.35,13.37,12655200,13.37
2016-09-23,13.41,13.48,13.35,13.36,8730100,13.36
2016-09-22,13.43,13.52,13.39,13.43,16610100,13.43
2016-09-21,13.39,13.42,13.34,13.39,8362300,13.39
2016-09-20,13.42,13.42,13.33,13.39,12816000,13.39
2016-09-19,13.41,13.48,13.35,13.43,13389100,13.43
2016-09-16,13.42,13.42,13.42,13.42,000,13.42
2016-09-15,13.42,13.42,13.42,13.42,000,13.42
2016-09-14,13.47,13.55,13.38,13.42,12908200,13.42
2016-09-13,13.62,13.64,13.42,13.53,16634100,13.53
2016-09-12,13.47,13.75,13.26,13.73,38339200,13.73
2016-09-09,13.60,13.65,13.52,13.55,19344100,13.55
2016-09-08,13.60,13.63,13.57,13.60,10757200,13.60
2016-09-07,13.73,13.75,13.60,13.63,16591900,13.63
2016-09-06,13.79,13.80,13.69,13.74,12266600,13.74
2016-09-05,13.90,13.95,13.75,13.79,11356800,13.79
2016-09-02,13.68,14.00,13.66,13.95,24223300,13.95
2016-09-01,13.83,13.83,13.67,13.68,10868000,13.68
2016-08-31,13.68,13.84,13.63,13.79,12830600,13.79
2016-08-30,13.66,13.75,13.65,13.68,10296700,13.68
2016-08-29,13.82,13.82,13.65,13.66,15147200,13.66
2016-08-26,13.60,13.88,13.58,13.84,18633900,13.84
2016-08-25,13.69,13.70,13.50,13.58,15303500,13.58
2016-08-24,13.68,13.79,13.64,13.71,11625700,13.71
2016-08-23,13.79,13.84,13.63,13.68,17986100,13.68
2016-08-22,13.78,13.95,13.72,13.78,10862000,13.78
2016-08-19,13.70,13.86,13.55,13.81,18223600,13.81
2016-08-18,13.68,13.81,13.65,13.70,12378600,13.70
2016-08-17,13.69,13.84,13.62,13.67,25190700,13.67
2016-08-16,14.16,14.18,13.65,13.73,72573900,13.73
2016-08-15,14.16,14.34,14.08,14.15,31105200,14.15
2016-08-12,13.94,14.38,13.92,14.14,39648500,14.14
2016-08-11,13.73,14.08,13.58,13.93,26744100,13.93
2016-08-10,13.55,13.72,13.51,13.69,17104300,13.69
2016-08-09,13.52,13.61,13.46,13.55,11683200,13.55
2016-08-08,13.28,13.63,13.25,13.51,15054500,13.51
2016-08-05,13.24,13.32,13.19,13.25,6965100,13.25
2016-08-04,13.31,13.33,13.19,13.24,11625600,13.24
2016-08-03,13.29,13.34,13.20,13.31,10132000,13.31
2016-08-02,13.39,13.43,13.17,13.29,15565300,13.29
2016-08-01,13.20,13.44,13.19,13.39,19416300,13.39
2016-07-29,13.38,13.59,13.22,13.24,18913300,13.24
2016-07-28,13.09,13.46,13.06,13.36,28823700,13.36
2016-07-27,12.92,13.13,12.83,13.12,46303200,13.12
2016-07-26,12.84,12.91,12.80,12.91,19919800,12.91
2016-07-25,12.76,12.85,12.72,12.83,11463900,12.83
2016-07-22,12.85,12.85,12.62,12.73,16522300,12.73
2016-07-21,12.78,12.89,12.75,12.82,18136800,12.82
2016-07-20,12.90,12.90,12.82,12.84,7259000,12.84
2016-07-19,12.94,13.00,12.75,12.89,23995300,12.89
2016-07-18,13.25,13.29,13.04,13.13,16727400,13.00054
2016-07-15,13.17,13.35,13.15,13.24,19956200,13.10946
2016-07-14,13.06,13.19,13.00,13.17,15875100,13.04015
2016-07-13,12.95,13.13,12.93,13.04,28044100,12.91143
2016-07-12,12.90,13.01,12.78,12.98,27868400,12.85202
2016-07-11,12.93,12.98,12.80,12.93,26757300,12.80251
2016-07-08,12.90,12.96,12.84,12.92,10860400,12.79261
2016-07-07,13.00,13.00,12.85,12.90,14189800,12.77281
2016-07-06,12.64,13.04,12.60,13.00,43464700,12.87182
2016-07-05,12.68,12.73,12.56,12.65,14860400,12.52527
2016-07-04,12.57,12.65,12.54,12.61,15319500,12.48567
2016-07-01,12.49,12.56,12.44,12.55,10125800,12.42626
2016-06-30,12.42,12.52,12.40,12.49,13529800,12.36685
2016-06-29,12.41,12.45,12.35,12.42,12551300,12.29754
2016-06-28,12.38,12.43,12.35,12.40,9254400,12.27774
2016-06-27,12.35,12.43,12.33,12.42,9323000,12.29754
2016-06-24,12.36,12.42,12.31,12.35,18519000,12.22823
2016-06-23,12.45,12.46,12.36,12.36,9861600,12.23813
2016-06-22,12.43,12.47,12.39,12.45,9892100,12.32724
2016-06-21,12.47,12.49,12.39,12.43,18201200,12.30744
2016-06-20,12.37,12.46,12.34,12.46,21250200,12.33715
2016-06-17,12.32,12.39,12.32,12.34,21931000,12.21833
2016-06-16,12.45,12.45,12.28,12.31,28806100,12.18863
2016-06-15,12.36,12.48,12.36,12.45,10869900,12.32724
2016-06-14,12.51,12.62,12.38,12.41,18409500,12.28764
2016-06-13,12.63,12.64,12.51,12.53,11769100,12.40646
2016-06-10,12.66,12.66,12.66,12.66,000,12.53517
2016-06-09,12.66,12.66,12.66,12.66,000,12.53517
2016-06-08,12.53,12.67,12.48,12.66,16986000,12.53517
2016-06-07,12.55,12.58,12.48,12.52,9728300,12.39656
2016-06-06,12.63,12.65,12.46,12.53,15407600,12.40646
2016-06-03,12.47,12.65,12.40,12.60,20184900,12.47577
2016-06-02,12.41,12.49,12.41,12.45,12972200,12.32724
2016-06-01,12.42,12.47,12.39,12.45,13489800,12.32724
2016-05-31,12.27,12.50,12.27,12.46,23873600,12.33715
2016-05-30,12.27,12.35,12.26,12.27,14385500,12.14902
2016-05-27,12.27,12.33,12.25,12.28,11138800,12.15892
2016-05-26,12.30,12.32,12.25,12.28,13206200,12.15892
2016-05-25,12.34,12.36,12.27,12.28,11340300,12.15892
2016-05-24,12.30,12.35,12.28,12.34,12005000,12.21833
2016-05-23,12.38,12.40,12.27,12.30,17705300,12.17872
2016-05-20,12.31,12.41,12.27,12.37,12117300,12.24803
2016-05-19,12.39,12.46,12.30,12.32,14165100,12.19853
2016-05-18,12.38,12.47,12.27,12.42,24345500,12.29754
2016-05-17,12.46,12.59,12.37,12.39,17975900,12.26784
2016-05-16,12.41,12.58,12.41,12.49,17244200,12.36685
2016-05-13,12.45,12.51,12.36,12.45,17498900,12.32724
2016-05-12,12.22,12.62,12.20,12.48,35175600,12.35695
2016-05-11,12.30,12.33,12.20,12.24,29646200,12.11932
2016-05-10,12.25,12.31,12.23,12.27,12164500,12.14902
2016-05-09,12.27,12.32,12.19,12.27,23440900,12.14902
2016-05-06,12.35,12.36,12.27,12.27,18574000,12.14902
2016-05-05,12.36,12.48,12.29,12.35,11794000,12.22823
2016-05-04,12.36,12.39,12.32,12.34,11777900,12.21833
2016-05-03,12.34,12.43,12.30,12.37,15205100,12.24803
2016-05-02,12.33,12.33,12.33,12.33,000,12.20843
2016-04-29,12.45,12.45,12.29,12.33,15263200,12.20843
2016-04-28,12.50,12.54,12.37,12.48,7905000,12.35695
2016-04-27,12.38,12.59,12.35,12.50,24927600,12.37675
2016-04-26,12.45,12.49,12.29,12.41,19122300,12.28764
2016-04-25,12.32,12.53,12.27,12.45,17094200,12.32724
2016-04-22,12.31,12.38,12.25,12.33,16178800,12.20843
2016-04-21,12.39,12.44,12.28,12.31,10289100,12.18863
2016-04-20,12.46,12.48,12.16,12.47,35650000,12.34705
2016-04-19,12.37,12.49,12.35,12.47,22316700,12.34705
2016-04-18,12.26,12.39,12.22,12.35,20512000,12.22823
2016-04-15,12.25,12.40,12.24,12.25,21609300,12.12922
2016-04-14,12.23,12.28,12.20,12.23,25240500,12.10941
2016-04-13,12.18,12.27,12.12,12.22,29872700,12.09951
2016-04-12,12.16,12.21,12.15,12.17,11600400,12.05001
2016-04-11,12.20,12.24,12.17,12.17,26196000,12.05001
2016-04-08,12.18,12.23,12.12,12.19,15485000,12.06981
2016-04-07,12.30,12.32,12.17,12.18,20371600,12.05991
2016-04-06,12.38,12.39,12.23,12.31,25423800,12.18863
2016-04-05,12.49,12.55,12.34,12.40,21232800,12.27774
2016-04-04,12.48,12.48,12.48,12.48,000,12.35695
2016-04-01,12.29,12.52,12.24,12.48,21031000,12.35695
2016-03-31,12.30,12.33,12.20,12.28,10575400,12.15892
2016-03-30,12.13,12.31,12.13,12.30,20733200,12.17872
2016-03-29,12.11,12.18,12.05,12.12,13455400,12.0005
2016-03-28,12.20,12.29,12.08,12.10,13554300,11.9807
2016-03-25,12.12,12.26,12.12,12.18,10089700,12.05991
2016-03-24,12.20,12.25,12.10,12.17,12414100,12.05001
2016-03-23,12.32,12.33,12.23,12.27,9417700,12.14902
2016-03-22,12.30,12.36,12.23,12.33,18838500,12.20843
2016-03-21,12.30,12.39,12.22,12.31,25042600,12.18863
2016-03-18,12.28,12.36,12.20,12.30,28413700,12.17872
2016-03-17,12.35,12.37,12.18,12.29,28893300,12.16882
2016-03-16,12.17,12.48,12.15,12.31,49478700,12.18863
2016-03-15,12.13,12.23,12.05,12.21,20963000,12.08961
2016-03-14,12.01,12.17,11.90,12.11,30421200,11.9906
2016-03-11,11.80,12.20,11.52,12.05,71141900,11.93119
2016-03-10,11.74,11.74,11.74,11.74,000,11.62425
2016-03-09,11.74,11.74,11.74,11.74,000,11.62425
2016-03-08,11.74,11.74,11.74,11.74,000,11.62425
2016-03-07,11.74,11.74,11.74,11.74,000,11.62425
2016-03-04,11.74,11.74,11.74,11.74,000,11.62425
2016-03-03,11.74,11.74,11.74,11.74,000,11.62425
2016-03-02,11.46,11.79,11.38,11.74,37040400,11.62425
2016-03-01,11.39,11.56,11.13,11.48,44123600,11.36681
2016-02-29,11.80,11.85,11.13,11.40,45954100,11.2876
2016-02-26,12.00,12.04,11.66,11.76,37194100,11.64405
2016-02-25,12.20,12.22,11.88,11.91,33929100,11.79257
2016-02-24,12.11,12.22,12.07,12.21,28370400,12.08961
2016-02-23,12.13,12.16,12.06,12.15,26277900,12.0302
2016-02-22,12.14,12.15,12.00,12.10,26685900,11.9807
2016-02-19,12.14,12.15,12.02,12.08,16860300,11.96089
2016-02-18,12.22,12.27,12.15,12.18,22004200,12.05991
2016-02-17,12.26,12.28,12.12,12.20,21009900,12.07971
2016-02-16,12.08,12.29,12.08,12.24,21025000,12.11932
2016-02-15,12.10,12.11,11.98,12.05,30778900,11.93119
2016-02-12,12.25,12.25,12.25,12.25,000,12.12922
2016-02-11,12.25,12.25,12.25,12.25,000,12.12922
2016-02-10,12.25,12.25,12.25,12.25,000,12.12922
2016-02-09,12.25,12.25,12.25,12.25,000,12.12922
2016-02-08,12.25,12.25,12.25,12.25,000,12.12922
2016-02-05,12.31,12.36,12.20,12.25,10882300,12.12922
2016-02-04,12.16,12.50,12.16,12.31,21586700,12.18863
2016-02-03,12.05,12.18,12.03,12.16,18804600,12.0401
2016-02-02,12.17,12.22,12.04,12.13,20800700,12.0104
2016-02-01,12.08,12.27,12.06,12.15,20219200,12.0302
2016-01-29,11.96,12.26,11.93,12.11,39800700,11.9906
2016-01-28,12.01,12.30,11.93,12.00,30122500,11.88168
2016-01-27,12.18,12.19,11.84,12.02,71609400,11.90148
2016-01-26,12.50,12.50,12.07,12.09,37832700,11.97079
2016-01-25,12.56,12.58,12.47,12.53,13274600,12.40646
2016-01-22,12.55,12.63,12.49,12.51,21545800,12.38665
2016-01-21,12.31,12.71,12.31,12.50,26651000,12.37675
2016-01-20,12.90,12.90,12.55,12.60,27067900,12.47577
2016-01-19,12.63,12.98,12.58,12.81,27423400,12.6837
2016-01-18,12.45,12.79,12.41,12.65,24300100,12.52527
2016-01-15,12.76,13.03,12.41,12.62,39869600,12.49557
2016-01-14,12.23,12.92,12.11,12.84,63305800,12.7134
2016-01-13,12.59,12.72,12.41,12.44,41375100,12.31734
2016-01-12,12.65,12.74,12.48,12.53,33165800,12.40646
2016-01-11,12.82,13.00,12.50,12.56,62274400,12.43616
2016-01-08,13.09,13.16,12.88,12.95,46913000,12.82231
2016-01-07,13.19,13.19,12.80,12.82,9124900,12.6936
2016-01-06,13.17,13.26,13.12,13.21,26154400,13.07975
2016-01-05,13.11,13.33,13.01,13.17,49557100,13.04015
2016-01-04,13.53,13.62,13.15,13.15,38198700,13.02034
2016-01-01,13.56,13.56,13.56,13.56,000,13.4263
2015-12-31,13.59,13.66,13.51,13.56,19842300,13.4263
2015-12-30,13.63,13.65,13.50,13.55,23525900,13.4164
2015-12-29,13.66,13.75,13.57,13.59,23670000,13.456
2015-12-28,13.91,13.96,13.57,13.64,44060700,13.50551
2015-12-25,14.11,14.17,13.89,13.90,22770300,13.76295
2015-12-24,14.08,14.18,13.89,14.11,29585900,13.97088
2015-12-23,14.18,14.36,14.00,14.09,32582800,13.95107
2015-12-22,14.11,14.30,13.95,14.12,35015300,13.98078
2015-12-21,13.78,14.28,13.77,14.15,54710300,14.01048
2015-12-18,13.90,13.94,13.71,13.85,27039100,13.71344
2015-12-17,13.85,13.96,13.78,13.84,39561600,13.70354
2015-12-16,13.65,13.84,13.60,13.79,27610500,13.65403
2015-12-15,13.75,13.83,13.58,13.63,22015400,13.49561
2015-12-14,13.47,13.99,13.45,13.74,29363300,13.60453
2015-12-11,13.53,13.61,13.43,13.55,22220000,13.4164
2015-12-10,13.70,13.75,13.50,13.53,40497300,13.3966
2015-12-09,13.68,13.98,13.44,13.75,48309200,13.61443
2015-12-08,13.70,13.81,13.53,13.67,35629700,13.53522
2015-12-07,13.90,14.02,13.73,13.78,30184500,13.64413
2015-12-04,13.90,14.17,13.83,13.94,38493200,13.80255
2015-12-03,14.00,14.46,13.78,14.09,78428300,13.95107
2015-12-02,13.25,14.26,13.23,14.02,133869700,13.88177
2015-12-01,13.45,13.47,13.09,13.18,39946300,13.05005
2015-11-30,13.02,13.50,13.01,13.45,92361500,13.31738
2015-11-27,13.19,13.23,12.97,12.98,68110900,12.85202
2015-11-26,13.23,13.27,13.12,13.17,42453200,13.04015
2015-11-25,13.31,13.34,13.16,13.26,52115700,13.12926
2015-11-24,13.13,13.49,13.13,13.34,53838800,13.20847
2015-11-23,13.15,13.40,13.13,13.22,64838400,13.08965
2015-11-20,13.49,13.49,13.13,13.23,93135800,13.09955
2015-11-19,13.44,13.69,13.33,13.51,80700700,13.37679
2015-11-18,13.72,13.75,13.35,13.44,113606400,13.30748
2015-11-17,13.11,14.09,13.06,13.77,246702800,13.63423
2015-11-16,12.92,13.50,12.92,13.12,512979400,12.99064
2015-11-13,14.73,14.73,14.73,14.73,000,14.58476
2015-11-12,14.73,14.73,14.73,14.73,000,14.58476
2015-11-11,14.73,14.73,14.73,14.73,000,14.58476
2015-11-10,14.73,14.73,14.73,14.73,000,14.58476
2015-11-09,14.73,14.73,14.73,14.73,000,14.58476
2015-11-06,14.73,14.73,14.73,14.73,000,14.58476
2015-11-05,14.73,14.73,14.73,14.73,000,14.58476
2015-11-04,14.73,14.73,14.73,14.73,000,14.58476
2015-11-03,14.73,14.73,14.73,14.73,000,14.58476
2015-11-02,14.73,14.73,14.73,14.73,000,14.58476
2015-10-30,14.73,14.73,14.73,14.73,000,14.58476
2015-10-29,14.73,14.73,14.73,14.73,000,14.58476
2015-10-28,14.73,14.73,14.73,14.73,000,14.58476
2015-10-27,14.73,14.73,14.73,14.73,000,14.58476
2015-10-26,14.73,14.73,14.73,14.73,000,14.58476
2015-10-23,14.73,14.73,14.73,14.73,000,14.58476
2015-10-22,14.73,14.73,14.73,14.73,000,14.58476
2015-10-21,14.73,14.73,14.73,14.73,000,14.58476
2015-10-20,14.73,14.73,14.73,14.73,000,14.58476
2015-10-19,14.73,14.73,14.73,14.73,000,14.58476
2015-10-16,14.73,14.73,14.73,14.73,000,14.58476
2015-10-15,14.73,14.73,14.73,14.73,000,14.58476
2015-10-14,14.73,14.73,14.73,14.73,000,14.58476
2015-10-13,14.73,14.73,14.73,14.73,000,14.58476
2015-10-12,14.73,14.73,14.73,14.73,000,14.58476
2015-10-09,14.73,14.73,14.73,14.73,000,14.58476
2015-10-08,14.73,14.73,14.73,14.73,000,14.58476
2015-10-07,14.73,14.73,14.73,14.73,000,14.58476
2015-10-06,14.73,14.73,14.73,14.73,000,14.58476
2015-10-05,14.73,14.73,14.73,14.73,000,14.58476
2015-10-02,14.73,14.73,14.73,14.73,000,14.58476
2015-10-01,14.73,14.73,14.73,14.73,000,14.58476
2015-09-30,14.73,14.73,14.73,14.73,000,14.58476
2015-09-29,14.35,14.35,14.35,14.35,000,14.20851
2015-09-28,14.47,14.97,14.46,14.35,66840600,14.20851
2015-09-25,14.73,14.73,14.73,14.73,000,14.58476
2015-09-24,14.73,14.73,14.73,14.73,000,14.58476
2015-09-23,14.73,14.73,14.73,14.73,000,14.58476
2015-09-22,14.73,14.73,14.73,14.73,000,14.58476
2015-09-21,14.73,14.73,14.73,14.73,000,14.58476
2015-09-18,14.73,14.73,14.73,14.73,000,14.58476
2015-09-17,14.73,14.73,14.73,14.73,000,14.58476
2015-09-16,14.73,14.73,14.73,14.73,000,14.58476
2015-09-15,14.73,14.73,14.73,14.73,000,14.58476
2015-09-14,14.73,14.73,14.73,14.73,000,14.58476
2015-09-11,14.73,14.73,14.73,14.73,000,14.58476
2015-09-10,14.73,14.73,14.73,14.73,000,14.58476
2015-09-09,14.73,14.73,14.73,14.73,000,14.58476
2015-09-08,14.73,14.73,14.73,14.73,000,14.58476
2015-09-07,14.73,14.73,14.73,14.73,000,14.58476
2015-09-04,14.73,14.73,14.73,14.73,000,14.58476
2015-09-03,14.73,14.73,14.73,14.73,000,14.58476
2015-09-02,14.73,14.73,14.73,14.73,000,14.58476
2015-09-01,14.73,14.73,14.73,14.73,000,14.58476
2015-08-31,14.73,14.73,14.73,14.73,000,14.58476
2015-08-28,14.73,14.73,14.73,14.73,000,14.58476
2015-08-27,14.73,14.73,14.73,14.73,000,14.58476
2015-08-26,14.73,14.73,14.73,14.73,000,14.58476
2015-08-25,14.73,14.73,14.73,14.73,000,14.58476
2015-08-24,14.73,14.73,14.73,14.73,000,14.58476
2015-08-21,14.73,14.73,14.73,14.73,000,14.58476
2015-08-20,14.73,14.73,14.73,14.73,000,14.58476
2015-08-19,14.73,14.73,14.73,14.73,000,14.58476
2015-08-18,14.73,14.73,14.73,14.73,000,14.58476
2015-08-17,14.73,14.73,14.73,14.73,000,14.58476
2015-08-14,14.73,14.73,14.73,14.73,000,14.58476
2015-08-13,14.73,14.73,14.73,14.73,000,14.58476
2015-08-12,14.73,14.73,14.73,14.73,000,14.58476
2015-08-11,14.73,14.73,14.73,14.73,000,14.58476
2015-08-10,14.73,14.73,14.73,14.73,000,14.58476
2015-08-07,14.73,14.73,14.73,14.73,000,14.58476
2015-08-06,14.73,14.73,14.73,14.73,000,14.58476
2015-08-05,14.73,14.73,14.73,14.73,000,14.58476
2015-08-04,14.73,14.73,14.73,14.73,000,14.58476
2015-08-03,14.73,14.73,14.73,14.73,000,14.58476
2015-07-31,14.73,14.73,14.73,14.73,000,14.58476
2015-07-30,14.73,14.73,14.73,14.73,000,14.58476
2015-07-29,14.73,14.73,14.73,14.73,000,14.58476
2015-07-28,14.73,14.73,14.73,14.73,000,14.58476
2015-07-27,14.73,14.73,14.73,14.73,000,14.58476
2015-07-24,14.73,14.73,14.73,14.73,000,14.58476
2015-07-23,14.73,14.73,14.73,14.73,000,14.58476
2015-07-22,14.73,14.73,14.73,14.73,000,14.58476
2015-07-21,14.73,14.73,14.73,14.73,000,14.58476
2015-07-20,14.73,14.73,14.73,14.73,000,14.58476
2015-07-17,14.73,14.73,14.73,14.73,000,14.58476
2015-07-16,14.73,14.73,14.73,14.73,000,14.58476
2015-07-15,14.73,14.73,14.73,14.73,000,14.58476
2015-07-14,14.73,14.73,14.73,14.73,000,14.58476
2015-07-13,14.73,14.73,14.73,14.73,000,14.58476
2015-07-10,14.73,14.73,14.73,14.73,000,14.58476
2015-07-09,14.73,14.73,14.73,14.73,000,14.58476
2015-07-08,14.73,14.73,14.73,14.73,000,14.58476
2015-07-07,14.73,14.73,14.73,14.73,000,14.58476
2015-07-06,14.73,14.73,14.73,14.73,000,14.58476
2015-07-03,14.73,14.73,14.73,14.73,000,14.58476
2015-07-02,14.73,14.73,14.73,14.73,000,14.58476
2015-07-01,14.73,14.73,14.73,14.73,000,14.58476
2015-06-30,14.73,14.73,14.73,14.73,000,14.58476
2015-06-29,14.73,14.73,14.73,14.73,000,14.20939
2015-06-26,14.73,14.73,14.73,14.73,000,14.20939
2015-06-25,14.73,14.73,14.73,14.73,000,14.20939
2015-06-24,14.73,14.73,14.73,14.73,000,14.20939
2015-06-23,14.73,14.73,14.73,14.73,000,14.20939
2015-06-22,14.73,14.73,14.73,14.73,000,14.20939
2015-06-19,14.73,14.73,14.73,14.73,000,14.20939
2015-06-18,14.73,14.73,14.73,14.73,000,14.20939
2015-06-17,14.73,14.73,14.73,14.73,000,14.20939
2015-06-16,14.73,14.73,14.73,14.73,000,14.20939
2015-06-15,14.73,14.73,14.73,14.73,000,14.20939
2015-06-12,14.47,14.97,14.46,14.73,66840600,14.20939
2015-06-11,14.68,14.70,14.32,14.44,96807200,13.92964
2015-06-10,14.82,14.98,14.51,14.68,124202500,14.16116
2015-06-09,14.60,15.22,14.40,15.06,214207100,14.52773
2015-06-08,14.29,14.59,14.11,14.50,152288500,13.98752
