"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"1",2,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,40
"2",1,1,10,6,1,1,1,5,1,1,1,5,2,1,2,1,2,1,5,1,1,2,2,2,2,8,4,1,1,18
"3",2,10,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37
"4",2,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"5",2,10,9,10,1,4,2,2,1,1,1,3,3,4,2,2,1,4,4,1,1,1,1,1,2,2,1,2,1,23
"6",2,5,8,7,1,7,3,1,1,1,1,4,5,1,4,2,1,2,3,1,1,2,1,1,1,2,1,1,2,45
"7",2,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,25
"8",2,7,5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,51
"9",2,6,8,7,1,4,2,1,1,1,1,2,2,5,1,2,2,1,1,1,3,2,1,1,1,2,1,3,1,30
"10",1,5,1,1,1,1,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,37
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,2,38
"12",2,7,10,8,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,5,2,1,1,1,1,2,26
"13",1,8,10,8,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,2,3,2,2,1,4,1,1,2,27
"14",2,9,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,19
"15",2,9,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,36
"16",2,10,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,23
"17",2,6,9,6,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,2,30
"18",2,8,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,62
"19",1,1,3,3,1,4,1,1,1,1,1,2,2,2,1,1,1,3,3,1,1,1,1,1,1,3,1,1,2,36
"20",2,8,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,60
"21",2,9,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,37
"22",2,6,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,22
"23",1,7,7,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,32
"24",2,8,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,36
"25",2,9,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39
"26",2,10,9,10,1,1,1,2,1,1,1,5,3,1,1,1,1,3,4,2,3,4,1,1,2,2,1,2,2,22
"27",2,7,10,7,1,1,1,1,1,1,2,1,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,45
"28",2,10,10,10,1,5,1,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2,1,1,2,2,1,2,1,35
"29",1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30
"30",2,10,9,10,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,23
"31",2,3,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32
"32",2,5,10,10,1,5,2,1,1,1,1,3,4,5,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,23
"33",1,6,5,3,1,1,1,1,1,4,1,4,5,5,5,1,1,1,1,5,3,5,5,1,5,2,4,1,1,28
"34",2,7,5,6,1,1,5,1,1,1,1,5,4,1,5,1,1,1,5,3,1,4,1,1,1,10,1,1,1,26
"35",2,4,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,26
"36",2,10,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40
"37",2,10,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38
"38",2,10,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39
"39",2,10,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41
"40",2,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59
"41",2,9,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64
"42",2,1,2,1,1,1,3,2,2,2,2,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,2,1,23
"43",1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
