"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"1",2,9,10,5,2,1,1,1,1,5,1,5,5,1,1,1,1,1,8,8,8,10,1,1,5,10,1,1,1,28
"2",1,3,6,4,2,2,4,4,3,2,1,3,9,9,7,4,1,1,9,9,6,10,8,3,2,8,3,3,1,27
"3",2,6,5,3,2,4,3,5,5,2,1,5,8,6,7,4,4,3,8,8,4,8,3,4,4,9,6,4,1,26
"4",2,10,8,8,2,1,1,1,1,1,1,1,1,4,1,4,1,1,6,6,7,10,7,1,2,10,1,1,1,21
"5",2,10,10,10,2,2,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,3,1,1,1,8,1,1,1,43
"6",2,6,7,4,2,5,2,2,5,1,2,5,8,4,1,3,1,2,2,5,6,10,2,2,3,9,4,4,1,37
"7",2,7,8,7,2,1,1,1,3,2,1,1,6,3,1,1,1,1,5,4,2,5,5,2,2,9,1,1,1,41
"8",1,8,10,10,1,10,1,1,10,1,1,1,1,10,1,10,1,6,10,1,1,10,1,1,1,10,1,1,1,36
"9",2,8,9,8,2,1,1,1,1,1,1,1,5,3,1,1,1,1,5,5,3,10,5,2,3,8,1,1,1,52
"10",2,8,8,8,2,1,1,1,1,1,1,1,10,8,8,10,10,10,10,6,6,10,8,10,10,10,1,1,1,46
"11",1,6,3,8,2,1,1,1,1,1,1,1,2,1,1,1,1,1,6,5,3,6,2,1,3,8,1,1,1,47
"12",2,10,10,10,2,5,3,3,5,3,1,5,1,1,1,1,1,1,1,1,1,10,5,5,1,10,1,5,1,61
"13",2,6,3,1,2,10,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,10,5,1,1,26
"14",2,7,3,1,2,1,1,4,5,6,3,8,8,3,5,3,2,2,6,6,6,9,6,6,4,9,2,1,1,27
"15",2,8,4,8,2,1,1,1,1,1,1,2,5,5,2,1,1,1,5,5,5,5,5,3,1,8,1,1,1,19
"16",2,9,8,6,2,1,1,1,1,1,1,1,7,1,6,1,1,1,8,7,1,10,5,1,1,1,1,1,1,20
"17",2,7,8,6,2,1,1,1,1,1,1,1,8,3,1,1,1,1,5,5,2,7,3,1,1,9,1,1,1,38
"18",2,8,5,3,2,1,1,1,1,1,1,3,6,1,1,1,1,1,6,6,1,9,2,7,1,8,8,1,1,37
"19",2,8,7,5,2,1,1,3,3,2,1,4,4,3,1,1,1,1,3,3,3,10,5,5,1,9,3,1,1,31
"20",1,8,10,2,2,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,42
"21",2,9,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,7,1,1,1,8,1,1,1,59
"22",2,8,8,8,2,1,1,1,1,1,1,1,4,3,1,1,1,1,5,5,2,6,5,1,1,10,1,1,1,57
"23",2,6,7,7,2,2,1,1,3,1,1,1,6,1,1,1,1,1,5,3,3,5,4,1,1,5,1,1,1,55
"24",2,8,9,4,2,1,1,1,1,1,1,1,1,6,6,1,1,1,6,6,6,10,6,6,6,6,1,1,1,58
"25",2,10,4,1,2,5,5,5,5,5,5,10,1,2,1,1,2,2,7,5,4,5,5,9,1,10,5,5,1,64
"26",1,10,1,7,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,6,6,1,1,1,10,1,1,1,22
"27",2,10,10,10,2,10,10,10,10,10,10,1,1,1,1,1,1,1,1,5,1,7,1,1,1,8,1,1,1,23
"28",1,9,8,1,2,1,1,1,4,4,4,1,1,4,4,4,3,4,4,4,1,1,4,3,10,1,1,1,1,30
"29",2,5,5,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,6,1,1,4,1,1,10,1,1,1,41
"30",2,7,7,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,10,1,1,1,10,1,1,1,45
"31",2,6,7,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,3,1,10,1,1,1,59
"32",1,8,10,7,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,5,1,8,1,1,1,9,1,1,1,60
"33",1,6,5,3,2,3,5,2,1,1,1,1,1,5,5,5,2,1,1,5,1,8,3,5,1,8,1,1,1,25
"34",2,5,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,22
"35",2,6,7,4,2,1,1,1,1,1,1,2,7,5,4,1,1,1,1,4,1,10,1,5,1,10,1,1,1,42
"36",2,8,8,5,2,1,2,3,4,3,1,3,7,3,2,1,1,1,6,6,4,6,5,3,5,8,3,2,1,33
"37",2,8,8,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,58
"38",2,6,5,3,2,1,2,3,2,2,1,3,8,1,1,1,1,1,1,1,3,6,6,3,3,1,1,1,1,58
"39",2,6,10,10,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,10,1,1,1,1,1,1,1,27
"40",2,10,8,10,2,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,1,41
"41",2,9,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,6,1,1,1,59
"42",2,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,10,1,1,1,72
"43",2,8,5,8,2,1,2,1,3,6,1,1,9,1,1,3,2,2,6,6,6,10,6,5,5,10,1,1,2,27
